case,input_format,output_format,mapping_type,dataset,iteration,duration_ms,triples,engine_selected
json_ttl_rml,json,TURTLE,rml,small_100.json,1,235,500,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,small_100.json,2,292,500,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,small_100.json,3,152,500,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,medium_10k.json,1,417,50000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,medium_10k.json,2,165,50000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,medium_10k.json,3,465,50000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_50k.json,1,541,250000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_50k.json,2,1322,250000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_50k.json,3,1244,250000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_100k.json,1,1520,500000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_100k.json,2,1257,500000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_100k.json,3,1229,500000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,large_500k.json,1,50821,2500000,RMLMAPPER
json_ttl_rml,json,TURTLE,rml,xlarge_2m.json,1,59063,10000000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,small_100.json,1,363,500,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,small_100.json,2,156,500,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,small_100.json,3,302,500,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,1,430,50000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,2,1136,50000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,3,1170,50000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,large_50k.json,1,557,250000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,large_50k.json,2,1381,250000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,large_50k.json,3,1204,250000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,large_100k.json,1,1495,500000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,large_100k.json,2,1252,500000,RMLMAPPER
json_jsonld_rml,json,JSONLD,rml,large_100k.json,3,1236,500000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,small_100.csv,1,204,500,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,small_100.csv,2,167,500,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,small_100.csv,3,296,500,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,medium_10k.csv,1,306,50000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,medium_10k.csv,2,158,50000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,medium_10k.csv,3,289,50000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_50k.csv,1,564,250000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_50k.csv,2,1127,250000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_50k.csv,3,1271,250000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_100k.csv,1,1497,500000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_100k.csv,2,1235,500000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_100k.csv,3,1269,500000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,large_500k.csv,1,3365,2500000,RMLMAPPER
csv_ttl_rml,csv,TURTLE,rml,xlarge_2m.csv,1,53482,10000000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,small_100.csv,1,236,500,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,small_100.csv,2,165,500,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,small_100.csv,3,304,500,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,medium_10k.csv,1,300,50000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,medium_10k.csv,2,157,50000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,medium_10k.csv,3,436,50000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,large_50k.csv,1,1537,250000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,large_50k.csv,2,1401,250000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,large_50k.csv,3,1060,250000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,large_100k.csv,1,1235,500000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,large_100k.csv,2,1105,500000,RMLMAPPER
csv_jsonld_rml,csv,JSONLD,rml,large_100k.csv,3,1251,500000,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_100.xml,1,393,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_100.xml,2,159,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_100.xml,3,303,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_1k.xml,1,558,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_1k.xml,2,1258,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_1k.xml,3,1132,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_5k.xml,1,51849,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_5k.xml,2,6792,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_5k.xml,3,51607,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_10k.xml,1,59204,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_10k.xml,2,59276,0,RMLMAPPER
xml_ttl_rml,xml,TURTLE,rml,invoices_10k.xml,3,59159,0,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,small_100.json,1,339,400,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,small_100.json,2,155,400,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,small_100.json,3,456,400,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,medium_10k.json,1,300,40000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,medium_10k.json,2,280,40000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,medium_10k.json,3,303,40000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_50k.json,1,1376,200000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_50k.json,2,1279,200000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_50k.json,3,1293,200000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_100k.json,1,1254,400000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_100k.json,2,961,400000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_100k.json,3,1267,400000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,large_500k.json,1,3280,2000000,RMLMAPPER
json_ttl_yarrrml,json,TURTLE,yarrrml,xlarge_2m.json,1,53452,8000000,RMLMAPPER
