case,input_format,output_format,mapping_type,dataset,iteration,duration_ms,triples,engine_selected
json_ttl_rml,json,TURTLE,rml,small_100.json,1,1263,500,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,small_100.json,2,405,500,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,small_100.json,3,1252,500,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,medium_10k.json,1,2699,50000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,medium_10k.json,2,2331,50000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,medium_10k.json,3,10107,50000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_50k.json,1,8183,250000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_50k.json,2,56548,250000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_50k.json,3,51120,250000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_100k.json,1,59363,500000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_100k.json,2,59245,500000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_100k.json,3,59147,500000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,small_100.json,1,44107,500,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,small_100.json,2,1261,500,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,small_100.json,3,1242,500,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,1,2315,50000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,2,51719,50000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,3,2072,50000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,large_50k.json,1,7336,250000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,large_50k.json,2,48312,250000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,large_50k.json,3,7633,250000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,large_100k.json,1,51090,500000,MORPH_KGC_PY
